年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間)
2020/3/17,7.5,13.1,-0.2,0,10.8
2020/3/18,11.2,17.2,6.4,0,8.9
2020/3/19,13.2,22.3,4.6,0,8.7
2020/3/20,10.9,16.6,5.9,0,9.6
2020/3/21,11.3,19.5,3.8,0,11.1
2020/3/22,12.6,19.9,6.6,0,4.9
2020/3/23,10.9,15.9,6.3,0,11.3
2020/3/24,8.5,11.6,6.5,0,5.7
2020/3/25,8.4,16.9,1.6,0,11.6
2020/3/26,12.5,21.7,3.1,0,10.2
2020/3/27,13.1,14.6,11.3,20,0
2020/3/28,11.3,13.8,7.8,17,0
2020/3/29,8.5,11.8,6.2,12.5,3.8
2020/3/30,9.4,11.9,6.7,0,0
2020/3/31,12.7,15.5,9.8,0,0
2020/4/1,13.2,15.6,10.4,36.5,0
2020/4/2,10.2,13.1,5.7,0,2.7
2020/4/3,10.3,17.3,3.5,0,8.3
2020/4/4,12.9,20.7,6.5,0,9.1
2020/4/5,9.4,12.4,7.1,0,5.9
2020/4/6,10,15.3,5.8,0,10
2020/4/7,10.9,19.4,3.4,0,11.2
2020/4/8,13,20.5,5.3,0,10.9
2020/4/9,11.9,17.4,6.3,0,11.9
2020/4/10,10.2,13.9,8.1,0,8.2
2020/4/11,9.8,14.8,5.1,0,6.3
2020/4/12,8.6,10.8,7.3,17.5,0
2020/4/13,9.6,10.8,8.5,32.5,0
2020/4/14,10.7,15.2,5.5,1.5,11.1
2020/4/15,11.7,19.7,3.2,0,9.7
2020/4/16,12.7,20.4,6.8,0,10.9
2020/4/17,13.1,20.4,5.7,0,5.6
2020/4/18,14.1,18,11.2,26.5,2.5
2020/4/19,13.6,17.6,11.4,0,2.9
2020/4/20,13.4,15.5,11.7,26.5,0
2020/4/21,13.8,18.2,9.5,0,3.7
2020/4/22,10.6,13,6.8,0,3.7
2020/4/23,9.6,14.2,5.6,1,4.4
2020/4/24,9,14.9,4.8,0.5,6.3
2020/4/25,11.8,20.4,2.9,0,12.7
2020/4/26,14.8,20.9,7.7,0,8
2020/4/27,14.3,19.7,10.7,0,9.4
2020/4/28,12.3,18.4,6.9,0,9.2
2020/4/29,14.4,23.2,5.3,0,12.7
2020/4/30,17.5,25.4,9.3,0,12.7
2020/5/1,19.1,25.6,12,0,9.9
2020/5/2,21.3,29.3,14.2,0,11.6
2020/5/3,19,23.5,16,0,1.3
2020/5/4,19.5,25.2,16.4,1.5,3.9
2020/5/5,19.4,24,16.4,0,10.6
2020/5/6,16.4,21.5,12.3,3.5,0.1
2020/5/7,15.5,22.4,9.4,0,12.9
2020/5/8,16.9,24.5,9.2,0,8.7
2020/5/9,17.3,21.7,13.5,1,2.2
2020/5/10,18.6,22.3,15.9,4,0.4
2020/5/11,20.3,26.9,16,1,12.2
2020/5/12,19.6,27.8,12.5,0,8.2
2020/5/13,19.7,24.4,13.5,0,11.5
2020/5/14,18.4,26.9,9.6,0,12.1
2020/5/15,18.4,23.2,12.8,1.5,1
2020/5/16,15.9,17.6,14.9,49.5,0
2020/5/17,18.7,23.6,16,0.5,3.3
2020/5/18,18.6,22.8,15.1,36,2.5
2020/5/19,19.4,27.1,15.5,19,3.8
2020/5/20,17.5,21.6,14,0,4
2020/5/21,16.3,20.7,13.2,1,5.5
2020/5/22,18.3,22.6,12.5,0,3.2
2020/5/23,21.7,27.3,18,0,9.3
2020/5/24,22.4,27.3,19.8,0,2.5
2020/5/25,23,27,18.6,0,2.9
2020/5/26,20.6,24.3,17.4,11,0.2
2020/5/27,20,26.5,16.5,0.5,3.6
2020/5/28,19.8,27.4,13.5,0,11.7
2020/5/29,20,27.7,12.3,0,13.4
2020/5/30,19.4,28.3,13.2,0,8.5
2020/5/31,19.3,21.1,17.4,2.5,0
2020/6/1,22.1,26,18.5,0,2.1
2020/6/2,24.9,30.5,20.5,0,9.2
2020/6/3,23.3,27.3,19.2,0,5
2020/6/4,23.7,30.5,18.2,0,8.4
2020/6/5,25.9,32.1,19.8,0,10.3
2020/6/6,23.7,27.3,20.4,0,1.5
2020/6/7,22.6,29.5,17.2,0,13.7
2020/6/8,23,31.5,14.5,0,13.8
2020/6/9,24.7,31.2,19.8,0,8.7
2020/6/10,24.8,30.3,20.6,0,2.4
2020/6/11,24.3,27.4,23.2,20.5,0
2020/6/12,24.2,27.7,22.8,14.5,0
2020/6/13,22.8,25.4,20.9,54,0
2020/6/14,25.2,30,21.6,20,0.5
2020/6/15,26.5,31.4,21.8,0,7.3
2020/6/16,23.4,29.7,18.6,0.5,4.2
2020/6/17,22.9,29.4,16.8,0,10.9
2020/6/18,19.8,22.6,17.9,23,0
2020/6/19,19.1,21.5,17.2,83,0
2020/6/20,21.2,25.9,17.3,0,7.3
2020/6/21,21.7,27.6,15.4,0,7.4
2020/6/22,23.9,27.6,21.5,0,2.2
2020/6/23,24.7,30.7,18.7,0,13
2020/6/24,26.1,31.7,21.2,0,9.3
2020/6/25,25.1,27.1,22.9,0,0.1
2020/6/26,27.3,32.1,23.3,3,4
2020/6/27,26.1,30.2,22.9,0.5,1.6
2020/6/28,23.7,27,19.6,9,2.5
2020/6/29,24.2,30,17.9,0,10.2
2020/6/30,23.2,26.4,20.7,32.5,0.4
2020/7/1,25.5,29,23.6,10.5,3.3
2020/7/2,22.9,26.6,20.7,0,2.4
2020/7/3,20.8,22.7,19.1,41.5,0
2020/7/4,23.2,26.7,19.8,47,0.3
2020/7/5,25.4,30.5,21.9,0,4.3
2020/7/6,24.3,25.6,23,31.5,0.1
2020/7/7,25.4,28.8,23.3,3.5,0
2020/7/8,24.2,28.9,21.4,50,2.2
2020/7/9,24.3,26.9,22.6,3,0.1
2020/7/10,24.3,26.4,22.8,8,0.2
2020/7/11,25.5,29.3,23.5,24,0.5
2020/7/12,24.3,27.5,20.8,0,2.1
2020/7/13,20,21.5,19.4,19.5,0
2020/7/14,23.2,25.7,19.8,25,0.8
2020/7/15,23.4,26.5,21.5,0,0.4
2020/7/16,23.8,28.3,20.1,0,6.2
2020/7/17,22.4,23.9,21.6,6,0
2020/7/18,25,28.9,22.3,2,5.5
2020/7/19,27.5,34.4,22.5,0,9.3
2020/7/20,28.2,34,24.3,0,5
2020/7/21,27.9,33.3,24.3,10.5,5.1
2020/7/22,26.3,30.8,23.3,0,6.4
2020/7/23,23.9,26.3,22.4,1,0
2020/7/24,24.5,27.2,22.5,16,0
2020/7/25,24.3,26.7,22.9,53.5,0
2020/7/26,24.1,26.4,22.2,14.5,0
2020/7/27,25,28.5,22.2,1,1.4
2020/7/28,26.5,29.8,23.9,0.5,0.2
2020/7/29,26.2,30.1,24.7,4,1
2020/7/30,26,29.2,23.8,17,2.2
2020/7/31,27.4,33,23.8,0,6.8
2020/8/1,27.2,33.2,21.8,0,12.6
2020/8/2,27.5,32.6,22.9,0,6.4
2020/8/3,28.6,33.5,24.7,0,6.5
2020/8/4,27.6,33.6,24.9,0,0.3
2020/8/5,29,34.7,24.6,0,10.8
2020/8/6,29.1,34.6,23.9,0,11.4
2020/8/7,28,32.8,24.8,0,2
2020/8/8,28.4,33.7,24.3,0,4
2020/8/9,29.9,35.3,25.5,0,9.5
2020/8/10,30.9,37.6,26.4,0,8.5
2020/8/11,31.1,35.9,27.2,0,8.8
2020/8/12,29.2,35.2,26.1,6,4.4
2020/8/13,28.2,33.4,25.2,0.5,2.4
2020/8/14,30.6,37,25.3,0,10.1
2020/8/15,30.7,36.1,26.9,0,9.1
2020/8/16,30.6,36.3,26,0,11.5
2020/8/17,30.1,37,25.1,0,11.7
2020/8/18,29.5,35.3,25.1,0,11.3
2020/8/19,30.1,37.6,24,0,12.2
2020/8/20,31.3,37.7,26.6,0,10.5
2020/8/21,30.8,37.5,26.5,0,11.6
2020/8/22,28.8,35.6,23.4,7.5,10.4
2020/8/23,27.8,33.8,22.9,0,10.9
2020/8/24,28.5,34.3,24,0.5,7.9
2020/8/25,29.4,36,25,0,10.1
2020/8/26,29.9,36.1,25.9,0,7.7
2020/8/27,28.8,34.5,25.9,0,2.6
2020/8/28,27.6,32.4,25.5,21,1.8
2020/8/29,29.4,35.9,25.1,0,11
2020/8/30,30.1,36.6,25.8,0,11.8
2020/8/31,29.5,36,24.8,0,10.4
2020/9/1,28.3,33.3,25.7,0,4.9
2020/9/2,28.6,33.9,26.4,0.5,4.9
2020/9/3,29,33.4,26.6,0,1.7
2020/9/4,27.2,30.7,25.1,6.5,2.6
2020/9/5,28.5,35.1,24.5,0,8.7
2020/9/6,26.5,31.5,23.8,5.5,2
2020/9/7,28.2,34.1,24.7,14.5,4.3
2020/9/8,27.9,33.3,23.2,0,10.6
2020/9/9,24.1,28.9,21.6,1.5,1.3
2020/9/10,23.8,27.9,22.1,19,0.7
2020/9/11,25.4,30.4,22.5,0,2.8
2020/9/12,26.9,31.2,23.7,0,5.1
2020/9/13,25.4,29,22.8,3.5,0.2
2020/9/14,22.8,26.7,18.9,0,7.5
2020/9/15,22.8,29.1,17,0,11.2
2020/9/16,24.1,29.2,20.1,0,2.6
2020/9/17,25.5,28.8,22.9,5,1.9
2020/9/18,25.4,29.8,21.3,8,1.2
2020/9/19,23.5,28.1,20.1,0,7.5
2020/9/20,21.4,25.3,18.8,0,1.9
2020/9/21,22.1,27.9,17.6,0,10
2020/9/22,21.6,27.9,16,0,4.3
2020/9/23,24.5,30.3,20.7,0,7.5
2020/9/24,24.2,28.7,21.2,0,0.4
2020/9/25,20.9,22.7,19.7,61,0
2020/9/26,21.6,24.9,19.2,1,0.5
2020/9/27,21.2,24.8,17.4,0,6.4
2020/9/28,20.5,26.7,16.1,0,9
2020/9/29,20.2,25.2,16.2,0,3.5
2020/9/30,20.5,25.8,15.4,0.5,7.1
2020/10/1,20.4,25.8,16.3,6.5,10.3
2020/10/2,20.3,27.5,14.4,0,10.9
2020/10/3,21.2,24.4,16.9,0,2.3
2020/10/4,21.9,25.6,19.6,1,0
2020/10/5,20.6,23.7,17.1,0,2
2020/10/6,17.7,23.9,13.4,0,6
2020/10/7,17.4,23.1,11.9,8.5,3.6
2020/10/8,15.5,16.3,14.9,43.5,0
2020/10/9,17.3,19.1,15.7,45,0
2020/10/10,19,21.8,17.4,58.5,0
2020/10/11,20.8,25,16.5,0,2.6
2020/10/12,20.9,27.3,15.5,0,8.5
2020/10/13,20.2,25.1,15.2,0,8.8
2020/10/14,18.8,24.9,13.9,0,9.4
2020/10/15,17.3,22.8,12.8,0,8.4
2020/10/16,16.9,22.2,12.8,0,4.5
2020/10/17,12.5,16.2,10.3,26,0
2020/10/18,13.5,19.4,9.5,0,4.5
2020/10/19,13.4,16.4,10.8,0.5,0.1
2020/10/20,15.3,23.2,10.8,0,9
2020/10/21,16.2,22.7,10,0,8.1
2020/10/22,17.9,20.9,15.8,9,0.5
2020/10/23,16.9,19.1,14.5,44,0.3
2020/10/24,15,19,11,0,8.3
2020/10/25,13.5,19.5,8.6,0,10
2020/10/26,14.1,21,9.1,0,7.7
2020/10/27,13.9,22.2,8.6,0,9.9
2020/10/28,11.5,15.5,8.2,0,1.3
2020/10/29,14.7,19.9,10.5,0,7.4
2020/10/30,12.4,16.8,8.7,0,4.9
2020/10/31,11.9,18.3,6.4,0,10
2020/11/1,13.6,19,7.2,0,5.3
2020/11/2,14.7,15.8,13.6,17,0
2020/11/3,14.3,18.4,9.2,1.5,6.6
2020/11/4,11.3,15.5,8,0,7.6
2020/11/5,11.4,17.2,6.4,0,9.2
2020/11/6,12.5,18.3,9,0,3.4
2020/11/7,13.9,14.7,12.4,11.5,0
2020/11/8,15.6,20.2,12.1,0,5.2
2020/11/9,12.4,15.6,9.6,0,6.3
2020/11/10,10.9,14.6,8.1,0,5.7
2020/11/11,9.8,14.4,6.4,0,6.6
2020/11/12,10.7,16.6,6,0,4.4
2020/11/13,12.4,17.1,7.9,0,2.7
2020/11/14,12.2,18.9,6.9,0,9.6
2020/11/15,11.5,18.4,5,0,8.5
2020/11/16,14.2,19.7,9.7,0,8.7
2020/11/17,13.2,20.2,8.5,0,9.2
2020/11/18,15.2,21.4,10.3,0,9
2020/11/19,18,26.6,11.1,0,7.8
2020/11/20,17.7,22,15.2,17,1.1
2020/11/21,12.7,15.8,6.8,0,6.8
2020/11/22,12.7,19.5,5.5,1,5.6
2020/11/23,13.4,15.9,10.7,0,3
2020/11/24,10.3,16.1,5.5,0,9.4
2020/11/25,9.8,14.7,6,0,0.5
2020/11/26,11.3,16.9,5.7,0,4.5
2020/11/27,13,17.9,7.9,1.5,7.7
2020/11/28,10.2,14,6.9,0,0.8
2020/11/29,9.2,13.2,5,0,4.9
2020/11/30,9.3,13.9,5.2,0,5.8
2020/12/1,9.4,13.3,6.3,0,3.8
2020/12/2,8.6,15.6,3.8,0,9.2
2020/12/3,9.4,13.2,5.7,0,4.6
2020/12/4,8.8,13.5,5,0,9
2020/12/5,8.3,14.3,3,0,9.1
2020/12/6,7.8,15,2.9,0,9
2020/12/7,8.6,15.1,2.7,0,8.7
2020/12/8,8.7,13,4.8,0,5
2020/12/9,7.5,12.3,4.1,0,4.9
2020/12/10,7.7,14.2,2.5,0,4.3
2020/12/11,9.3,15.6,5.4,0,6.1
2020/12/12,10.5,13.8,8.1,0,3.1
2020/12/13,8.6,11.3,5.2,0,1.4
2020/12/14,7.7,10,4.8,0,1.3
2020/12/15,3.9,6.1,2.1,0,3.1
2020/12/16,2.9,6.9,0.5,0,6.3
2020/12/17,3,6.3,0,0,6.3
2020/12/18,6,9.7,0,0,8.4
2020/12/19,5.1,8.2,2.7,0,3
2020/12/20,3.8,7.2,1,0,4.2
2020/12/21,4.1,9.5,0.9,0,3
2020/12/22,5,10.6,-0.4,0,8.7
2020/12/23,6.1,11.4,1.7,0,4.2
2020/12/24,5,8.4,1.1,0.5,0
2020/12/25,6.2,9,3.5,0,5.5
2020/12/26,5.9,9.4,2.6,0,5.7
2020/12/27,6.3,12.1,1.5,0,7.4
2020/12/28,6.8,11.1,4,6,2.8
2020/12/29,6.2,11,2.3,0,5.3
2020/12/30,6,10.7,0.4,15,1.9
2020/12/31,2,5,-0.1,1.5,5
